Time_index,Gas,Wind,Solar
1,1,0.638207229,0
2,1,0.63672072,0
3,1,0.646246741,0
4,1,0.659602686,0.000145231
5,1,0.667698376,0.016666354
6,1,0.639182367,0.099637789
7,1,0.600345483,0.223150256
8,1,0.600269376,0.332466954
9,1,0.599061425,0.415399977
10,1,0.620669194,0.46108637
11,1,0.642171738,0.487549984
12,1,0.675650424,0.487986403
13,1,0.700867074,0.480141086
14,1,0.719024504,0.444858987
15,1,0.723370574,0.395369061
16,1,0.713234799,0.365345186
17,1,0.688533168,0.354948919
18,1,0.635134282,0.325456505
19,1,0.611541138,0.14152603
20,1,0.643211593,0.009721537
21,1,0.670524946,0
22,1,0.670316804,0
23,1,0.667221622,0
24,1,0.65204777,0
25,1,0.164425384,0
26,1,0.174759396,0
27,1,0.185241716,0
28,1,0.205475992,0
29,1,0.227613722,0.004235529
30,1,0.22026221,0.14543676
31,1,0.158916949,0.453015828
32,1,0.136028136,0.616348261
33,1,0.146912736,0.674740853
34,1,0.152161441,0.679564961
35,1,0.159373779,0.674576248
36,1,0.163903504,0.659915017
37,1,0.167650305,0.661221025
38,1,0.17551406,0.669739514
39,1,0.175732269,0.656710317
40,1,0.164113403,0.627645685
41,1,0.15738242,0.561391015
42,1,0.14775506,0.316268881
43,1,0.198860446,0.048230439
44,1,0.248014281,0
45,1,0.262182793,0
46,1,0.27591225,0
47,1,0.289991059,0
48,1,0.280167575,0
49,1,0.4488302,0
50,1,0.430874513,0
51,1,0.411710199,0
52,1,0.394534156,0
53,1,0.38801258,0
54,1,0.373462704,0
55,1,0.356253972,0
56,1,0.33686679,0.072916115
57,1,0.280207961,0.41260356
58,1,0.202519758,0.546708273
59,1,0.165309591,0.458054344
60,1,0.156974296,0.399434472
61,1,0.162229126,0.431700656
62,1,0.173921217,0.505665665
63,1,0.18405776,0.443024309
64,1,0.233944651,0.123330392
65,1,0.312399308,0.001356961
66,1,0.367077288,0
67,1,0.393501326,0
68,1,0.385323691,0
69,1,0.36785842,0
70,1,0.355678152,0
71,1,0.350692869,0
72,1,0.344284547,0
73,1,0.725545124,0
74,1,0.711999534,0
75,1,0.71383595,0
76,1,0.716043861,0
77,1,0.726286972,0
78,1,0.732259654,0
79,1,0.731342806,0
80,1,0.732603304,0.034285592
81,1,0.719894066,0.266336108
82,1,0.701664903,0.395881842
83,1,0.679431654,0.349437191
84,1,0.680593181,0.316885552
85,1,0.673705307,0.334643137
86,1,0.657163461,0.380968996
87,1,0.655418987,0.365846691
88,1,0.702512082,0.122940919
89,1,0.771933382,0.003137413
90,1,0.786894036,0
91,1,0.78263578,0
92,1,0.449144299,0
93,1,0.536701279,0
94,1,0.599321242,0
95,1,0.642964773,0
96,1,0.672370005,0
